name_complet,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Mary Pollard,user12@example.com,"{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",100.0%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
Gail Harris,user13@example.com,"{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}","{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",100.0%,"{'nombre': 'Gail', 'apellido': 'Harris', 'email': 'user13@example.com'}",Clientes,Usuarios
Lauren Fletcher,user14@example.com,"{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}","{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",100.0%,"{'nombre': 'Lauren', 'apellido': 'Fletcher', 'email': 'user14@example.com'}",Clientes,Usuarios
Alan Liu,user15@example.com,"{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}","{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}",100.0%,"{'nombre': 'Alan', 'apellido': 'Liu', 'email': 'user15@example.com'}",Clientes,Usuarios
Douglas Williams,user16@example.com,"{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}","{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",100.0%,"{'nombre': 'Douglas', 'apellido': 'Williams', 'email': 'user16@example.com'}",Clientes,Usuarios
Daniel Smith,user17@example.com,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}","{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",100.0%,"{'nombre': 'Daniel', 'apellido': 'Smith', 'email': 'user17@example.com'}",Clientes,Usuarios
Christopher Jensen,user18@example.com,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",100.0%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Haley Rodriguez,user19@example.com,"{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}","{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",100.0%,"{'nombre': 'Haley', 'apellido': 'Rodriguez', 'email': 'user19@example.com'}",Clientes,Usuarios
Alexis Cox,user20@example.com,"{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}","{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}",100.0%,"{'nombre': 'Alexis', 'apellido': 'Cox', 'email': 'user20@example.com'}",Clientes,Usuarios
Deborah Davis,user21@example.com,"{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}","{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",100.0%,"{'nombre': 'Deborah', 'apellido': 'Davis', 'email': 'user21@example.com'}",Clientes,Usuarios
Brenda Reynolds,user22@example.com,"{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}","{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",100.0%,"{'nombre': 'Brenda', 'apellido': 'Reynolds', 'email': 'user22@example.com'}",Clientes,Usuarios
Paul Nash,user23@example.com,"{'first_name': 'Paul', 'last_name': 'Nash', 'email': 'user23@example.com'}","{'first_name': 'Paul', 'last_name': 'Nash', 'email': 'user23@example.com'}",100.0%,"{'nombre': 'Paul', 'apellido': 'Nash', 'email': 'user23@example.com'}",Clientes,Usuarios
Steven Parsons,user24@example.com,"{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}","{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",100.0%,"{'nombre': 'Steven', 'apellido': 'Parsons', 'email': 'user24@example.com'}",Clientes,Usuarios
Adrian Richards,user25@example.com,"{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}","{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",100.0%,"{'nombre': 'Adrian', 'apellido': 'Richards', 'email': 'user25@example.com'}",Clientes,Usuarios
Kristin Hall,user26@example.com,"{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}","{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}",100.0%,"{'nombre': 'Kristin', 'apellido': 'Hall', 'email': 'user26@example.com'}",Clientes,Usuarios
Gerald Brown,user27@example.com,"{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}","{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",100.0%,"{'nombre': 'Gerald', 'apellido': 'Brown', 'email': 'user27@example.com'}",Clientes,Usuarios
Susan Freeman,user28@example.com,"{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}","{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",100.0%,"{'nombre': 'Susan', 'apellido': 'Freeman', 'email': 'user28@example.com'}",Clientes,Usuarios
Gary Thornton,user29@example.com,"{'first_name': 'Gary', 'last_name': 'Thornton', 'email': 'user29@example.com'}","{'first_name': 'Gary', 'last_name': 'Thornton', 'email': 'user29@example.com'}",100.0%,"{'nombre': 'Gary', 'apellido': 'Thornton', 'email': 'user29@example.com'}",Clientes,Usuarios
Joyce Bailey,user30@example.com,"{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}","{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",100.0%,"{'nombre': 'Joyce', 'apellido': 'Bailey', 'email': 'user30@example.com'}",Clientes,Usuarios
Allison Hill,user31@example.com,"{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}","{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",100.0%,"{'nombre': 'Allison', 'apellido': 'Hill', 'email': 'user31@example.com'}",Clientes,Usuarios
Jamie Miller,user32@example.com,"{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}","{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}",100.0%,"{'nombre': 'Jamie', 'apellido': 'Miller', 'email': 'user32@example.com'}",Clientes,Usuarios
Kimberly Johnson,user33@example.com,"{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}","{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",100.0%,"{'nombre': 'Kimberly', 'apellido': 'Johnson', 'email': 'user33@example.com'}",Clientes,Usuarios
Elizabeth Smith,user34@example.com,"{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}","{'first_name': 'Elizabeth', 'last_name': 'Smith', 'email': 'user34@example.com'}",100.0%,"{'nombre': 'Elizabeth', 'apellido': 'Smith', 'email': 'user34@example.com'}",Clientes,Usuarios
Shelly Estes,user35@example.com,"{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}","{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}",100.0%,"{'nombre': 'Shelly', 'apellido': 'Estes', 'email': 'user35@example.com'}",Clientes,Usuarios
Jacob Williams,user36@example.com,"{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}","{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",100.0%,"{'nombre': 'Jacob', 'apellido': 'Williams', 'email': 'user36@example.com'}",Clientes,Usuarios
Roberto Chang,user37@example.com,"{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}","{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",100.0%,"{'nombre': 'Roberto', 'apellido': 'Chang', 'email': 'user37@example.com'}",Clientes,Usuarios
Karen Smith,user38@example.com,"{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}","{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",100.0%,"{'nombre': 'Karen', 'apellido': 'Smith', 'email': 'user38@example.com'}",Clientes,Usuarios
Anthony Hernandez,user39@example.com,"{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}","{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",100.0%,"{'nombre': 'Anthony', 'apellido': 'Hernandez', 'email': 'user39@example.com'}",Clientes,Usuarios
Breanna Watts,user40@example.com,"{'first_name': 'Breanna', 'last_name': 'Watts', 'email': 'user40@example.com'}","{'first_name': 'Breanna', 'last_name': 'Watts', 'email': 'user40@example.com'}",100.0%,"{'nombre': 'Breanna', 'apellido': 'Watts', 'email': 'user40@example.com'}",Clientes,Usuarios
Nicholas Marshall,user41@example.com,"{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}","{'first_name': 'Nicholas', 'last_name': 'Marshall', 'email': 'user41@example.com'}",100.0%,"{'nombre': 'Nicholas', 'apellido': 'Marshall', 'email': 'user41@example.com'}",Clientes,Usuarios
Christopher Bowen,user42@example.com,"{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}","{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",100.0%,"{'nombre': 'Christopher', 'apellido': 'Bowen', 'email': 'user42@example.com'}",Clientes,Usuarios
Nicole Thompson,user43@example.com,"{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}","{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",100.0%,"{'nombre': 'Nicole', 'apellido': 'Thompson', 'email': 'user43@example.com'}",Clientes,Usuarios
Anna Russell,user44@example.com,"{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}","{'first_name': 'Anna', 'last_name': 'Russell', 'email': 'user44@example.com'}",100.0%,"{'nombre': 'Anna', 'apellido': 'Russell', 'email': 'user44@example.com'}",Clientes,Usuarios
Donna King,user45@example.com,"{'first_name': 'Donna', 'last_name': 'King', 'email': 'user45@example.com'}","{'first_name': 'Donna', 'last_name': 'King', 'email': 'user45@example.com'}",100.0%,"{'nombre': 'Donna', 'apellido': 'King', 'email': 'user45@example.com'}",Clientes,Usuarios
Denise Byrd,user46@example.com,"{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}","{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",100.0%,"{'nombre': 'Denise', 'apellido': 'Byrd', 'email': 'user46@example.com'}",Clientes,Usuarios
Michael Robinson,user47@example.com,"{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}","{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",100.0%,"{'nombre': 'Michael', 'apellido': 'Robinson', 'email': 'user47@example.com'}",Clientes,Usuarios
Daniel Harrison,user48@example.com,"{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",100.0%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Jason Sellers,user49@example.com,"{'first_name': 'Jason', 'last_name': 'Sellers', 'email': 'user49@example.com'}","{'first_name': 'Jason', 'last_name': 'Sellers', 'email': 'user49@example.com'}",100.0%,"{'nombre': 'Jason', 'apellido': 'Sellers', 'email': 'user49@example.com'}",Clientes,Usuarios
Stephanie Torres,user50@example.com,"{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}","{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",100.0%,"{'nombre': 'Stephanie', 'apellido': 'Torres', 'email': 'user50@example.com'}",Clientes,Usuarios
Kristin Randall,user51@example.com,"{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}","{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",100.0%,"{'nombre': 'Kristin', 'apellido': 'Randall', 'email': 'user51@example.com'}",Clientes,Usuarios
Bradley Nguyen,user52@example.com,"{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}","{'first_name': 'Bradley', 'last_name': 'Nguyen', 'email': 'user52@example.com'}",100.0%,"{'nombre': 'Bradley', 'apellido': 'Nguyen', 'email': 'user52@example.com'}",Clientes,Usuarios
Lance Rice,user53@example.com,"{'first_name': 'Lance', 'last_name': 'Rice', 'email': 'user53@example.com'}","{'first_name': 'Lance', 'last_name': 'Rice', 'email': 'user53@example.com'}",100.0%,"{'nombre': 'Lance', 'apellido': 'Rice', 'email': 'user53@example.com'}",Clientes,Usuarios
Paul Perkins,user54@example.com,"{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}","{'first_name': 'Paul', 'last_name': 'Perkins', 'email': 'user54@example.com'}",100.0%,"{'nombre': 'Paul', 'apellido': 'Perkins', 'email': 'user54@example.com'}",Clientes,Usuarios
Thomas Stokes,user56@example.com,"{'first_name': 'Thomas', 'last_name': 'Stokes', 'email': 'user56@example.com'}","{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",75.22222222222221%,"{'nombre': 'Stephanie', 'apellido': 'Torres', 'email': 'user50@example.com'}",Clientes,Usuarios
Robert Wiley,user58@example.com,"{'first_name': 'Robert', 'last_name': 'Wiley', 'email': 'user58@example.com'}","{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",73.53535353535354%,"{'nombre': 'Joyce', 'apellido': 'Bailey', 'email': 'user30@example.com'}",Clientes,Usuarios
Robert Young,user59@example.com,"{'first_name': 'Robert', 'last_name': 'Young', 'email': 'user59@example.com'}","{'first_name': 'Roberto', 'last_name': 'Chang', 'email': 'user37@example.com'}",74.90598290598291%,"{'nombre': 'Roberto', 'apellido': 'Chang', 'email': 'user37@example.com'}",Clientes,Usuarios
Gabrielle Webb,user60@example.com,"{'first_name': 'Gabrielle', 'last_name': 'Webb', 'email': 'user60@example.com'}","{'first_name': 'Leslie', 'last_name': 'Webb', 'email': 'leslie.webb196@example.com'}",72.0909090909091%,"{'nombre': 'Leslie', 'apellido': 'Webb', 'email': 'leslie.webb196@example.com'}",Clientes,Usuarios
Heidi Phillips,user61@example.com,"{'first_name': 'Heidi', 'last_name': 'Phillips', 'email': 'user61@example.com'}","{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",70.55555555555556%,"{'nombre': 'Allison', 'apellido': 'Hill', 'email': 'user31@example.com'}",Clientes,Usuarios
Christina Miranda,user62@example.com,"{'first_name': 'Christina', 'last_name': 'Miranda', 'email': 'user62@example.com'}","{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",80.87301587301587%,"{'nombre': 'Kristin', 'apellido': 'Randall', 'email': 'user51@example.com'}",Clientes,Usuarios
Thomas Perez,user64@example.com,"{'first_name': 'Thomas', 'last_name': 'Perez', 'email': 'user64@example.com'}","{'first_name': 'Anthony', 'last_name': 'Hernandez', 'email': 'user39@example.com'}",70.81807081807082%,"{'nombre': 'Anthony', 'apellido': 'Hernandez', 'email': 'user39@example.com'}",Clientes,Usuarios
Duane Christensen,user65@example.com,"{'first_name': 'Duane', 'last_name': 'Christensen', 'email': 'user65@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",74.77937267410952%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Shelley Gray,user66@example.com,"{'first_name': 'Shelley', 'last_name': 'Gray', 'email': 'user66@example.com'}","{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",71.11111111111111%,"{'nombre': 'Michelle', 'apellido': 'Logan', 'email': 'user11@example.com'}",Clientes,Usuarios
Steve Garcia,user67@example.com,"{'first_name': 'Steve', 'last_name': 'Garcia', 'email': 'user67@example.com'}","{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",71.85703185703186%,"{'nombre': 'Steven', 'apellido': 'Parsons', 'email': 'user24@example.com'}",Clientes,Usuarios
Janice Morales,user69@example.com,"{'first_name': 'Janice', 'last_name': 'Morales', 'email': 'user69@example.com'}","{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",73.57264957264957%,"{'nombre': 'Stephanie', 'apellido': 'Torres', 'email': 'user50@example.com'}",Clientes,Usuarios
Crystal Stokes,user70@example.com,"{'first_name': 'Crystal', 'last_name': 'Stokes', 'email': 'user70@example.com'}","{'first_name': 'Stephanie', 'last_name': 'Torres', 'email': 'user50@example.com'}",74.72222222222221%,"{'nombre': 'Stephanie', 'apellido': 'Torres', 'email': 'user50@example.com'}",Clientes,Usuarios
Jessica Bell,user72@example.com,"{'first_name': 'Jessica', 'last_name': 'Bell', 'email': 'user72@example.com'}","{'first_name': 'Dustin', 'last_name': 'Bell', 'email': 'dustin.bell113@example.com'}",70.24475524475524%,"{'nombre': 'Dustin', 'apellido': 'Bell', 'email': 'dustin.bell113@example.com'}",Clientes,Usuarios
Gregory Rodriguez,user74@example.com,"{'first_name': 'Gregory', 'last_name': 'Rodriguez', 'email': 'user74@example.com'}","{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",81.11111111111111%,"{'nombre': 'Haley', 'apellido': 'Rodriguez', 'email': 'user19@example.com'}",Clientes,Usuarios
Stephen Hensley,user77@example.com,"{'first_name': 'Stephen', 'last_name': 'Hensley', 'email': 'user77@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",74.01709401709402%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Douglas Miller,user78@example.com,"{'first_name': 'Douglas', 'last_name': 'Miller', 'email': 'user78@example.com'}","{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}",77.77777777777779%,"{'nombre': 'Jamie', 'apellido': 'Miller', 'email': 'user32@example.com'}",Clientes,Usuarios
Crystal Green,user79@example.com,"{'first_name': 'Crystal', 'last_name': 'Green', 'email': 'user79@example.com'}","{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",71.11111111111111%,"{'nombre': 'Susan', 'apellido': 'Freeman', 'email': 'user28@example.com'}",Clientes,Usuarios
Jeremy Mitchell,user80@example.com,"{'first_name': 'Jeremy', 'last_name': 'Mitchell', 'email': 'user80@example.com'}","{'first_name': 'Karen', 'last_name': 'Smith', 'email': 'user38@example.com'}",72.95648795648796%,"{'nombre': 'Karen', 'apellido': 'Smith', 'email': 'user38@example.com'}",Clientes,Usuarios
Mary Rhodes,user82@example.com,"{'first_name': 'Mary', 'last_name': 'Rhodes', 'email': 'user82@example.com'}","{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",76.45299145299145%,"{'nombre': 'Mary', 'apellido': 'Pollard', 'email': 'user12@example.com'}",Clientes,Usuarios
Danielle Pham,user83@example.com,"{'first_name': 'Danielle', 'last_name': 'Pham', 'email': 'user83@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",74.36507936507937%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Raymond Marsh,user85@example.com,"{'first_name': 'Raymond', 'last_name': 'Marsh', 'email': 'user85@example.com'}","{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",70.2991452991453%,"{'nombre': 'Adrian', 'apellido': 'Richards', 'email': 'user25@example.com'}",Clientes,Usuarios
Jack Mitchell,user86@example.com,"{'first_name': 'Jack', 'last_name': 'Mitchell', 'email': 'user86@example.com'}","{'first_name': 'Jacob', 'last_name': 'Williams', 'email': 'user36@example.com'}",71.80555555555556%,"{'nombre': 'Jacob', 'apellido': 'Williams', 'email': 'user36@example.com'}",Clientes,Usuarios
Denise Burton,user87@example.com,"{'first_name': 'Denise', 'last_name': 'Burton', 'email': 'user87@example.com'}","{'first_name': 'Denise', 'last_name': 'Byrd', 'email': 'user46@example.com'}",76.44444444444444%,"{'nombre': 'Denise', 'apellido': 'Byrd', 'email': 'user46@example.com'}",Clientes,Usuarios
Deborah Thomas,user89@example.com,"{'first_name': 'Deborah', 'last_name': 'Thomas', 'email': 'user89@example.com'}","{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",75.35353535353536%,"{'nombre': 'Deborah', 'apellido': 'Davis', 'email': 'user21@example.com'}",Clientes,Usuarios
Heather Nelson,user90@example.com,"{'first_name': 'Heather', 'last_name': 'Nelson', 'email': 'user90@example.com'}","{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",70.55555555555556%,"{'nombre': 'Christopher', 'apellido': 'Jensen', 'email': 'user18@example.com'}",Clientes,Usuarios
Michael Thompson,user91@example.com,"{'first_name': 'Michael', 'last_name': 'Thompson', 'email': 'user91@example.com'}","{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",83.67521367521367%,"{'nombre': 'Nicole', 'apellido': 'Thompson', 'email': 'user43@example.com'}",Clientes,Usuarios
Heather Randall,user93@example.com,"{'first_name': 'Heather', 'last_name': 'Randall', 'email': 'user93@example.com'}","{'first_name': 'Kristin', 'last_name': 'Randall', 'email': 'user51@example.com'}",77.3015873015873%,"{'nombre': 'Kristin', 'apellido': 'Randall', 'email': 'user51@example.com'}",Clientes,Usuarios
Chelsey Lee,user94@example.com,"{'first_name': 'Chelsey', 'last_name': 'Lee', 'email': 'user94@example.com'}","{'first_name': 'Shelly', 'last_name': 'Estes', 'email': 'user35@example.com'}",71.75213675213675%,"{'nombre': 'Shelly', 'apellido': 'Estes', 'email': 'user35@example.com'}",Clientes,Usuarios
Nicole Thompson,user95@example.com,"{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user95@example.com'}","{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",94.44444444444444%,"{'nombre': 'Nicole', 'apellido': 'Thompson', 'email': 'user43@example.com'}",Clientes,Usuarios
Kristin Thompson,user96@example.com,"{'first_name': 'Kristin', 'last_name': 'Thompson', 'email': 'user96@example.com'}","{'first_name': 'Nicole', 'last_name': 'Thompson', 'email': 'user43@example.com'}",77.52136752136752%,"{'nombre': 'Nicole', 'apellido': 'Thompson', 'email': 'user43@example.com'}",Clientes,Usuarios
Aaron Harris,user100@example.com,"{'first_name': 'Aaron', 'last_name': 'Harris', 'email': 'user100@example.com'}","{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",80.3903903903904%,"{'nombre': 'Gail', 'apellido': 'Harris', 'email': 'user13@example.com'}",Clientes,Usuarios
Carl Gonzalez,user103@example.com,"{'first_name': 'Carl', 'last_name': 'Gonzalez', 'email': 'user103@example.com'}","{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",87.77777777777779%,"{'nombre': 'April', 'apellido': 'Gonzalez', 'email': 'user8@example.com'}",Clientes,Usuarios
Daniel Turner,user104@example.com,"{'first_name': 'Daniel', 'last_name': 'Turner', 'email': 'user104@example.com'}","{'first_name': 'Daniel', 'last_name': 'Harrison', 'email': 'user48@example.com'}",74.51737451737452%,"{'nombre': 'Daniel', 'apellido': 'Harrison', 'email': 'user48@example.com'}",Clientes,Usuarios
Rachel Arnold,user108@example.com,"{'first_name': 'Rachel', 'last_name': 'Arnold', 'email': 'user108@example.com'}","{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",71.33848133848133%,"{'nombre': 'Brenda', 'apellido': 'Reynolds', 'email': 'user22@example.com'}",Clientes,Usuarios
Marissa Johnson,user111@example.com,"{'first_name': 'Marissa', 'last_name': 'Johnson', 'email': 'user111@example.com'}","{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",78.57657657657657%,"{'nombre': 'Kimberly', 'apellido': 'Johnson', 'email': 'user33@example.com'}",Clientes,Usuarios
