name_complet,match_query,match_result,score,match_result_values,destTable,sourceTable
Christopher Bowen,ChristopherBowen,ChristopherBowen,100.0%,"{'nombre': 'Christopher', 'apellido': 'Bowen'}",Clientes,Usuarios
Nicole Thompson,NicoleThompson,NicoleThompson,100.0%,"{'nombre': 'Nicole', 'apellido': 'Thompson'}",Clientes,Usuarios
Anna Russell,AnnaRussell,AnnaRussell,100.0%,"{'nombre': 'Anna', 'apellido': 'Russell'}",Clientes,Usuarios
Donna King,DonnaKing,DonnaKing,100.0%,"{'nombre': 'Donna', 'apellido': 'King'}",Clientes,Usuarios
Denise Byrd,DeniseByrd,DeniseByrd,100.0%,"{'nombre': 'Denise', 'apellido': 'Byrd'}",Clientes,Usuarios
Michael Robinson,MichaelRobinson,MichaelRobinson,100.0%,"{'nombre': 'Michael', 'apellido': 'Robinson'}",Clientes,Usuarios
Daniel Harrison,DanielHarrison,DanielHarrison,100.0%,"{'nombre': 'Daniel', 'apellido': 'Harrison'}",Clientes,Usuarios
Jason Sellers,JasonSellers,JasonSellers,100.0%,"{'nombre': 'Jason', 'apellido': 'Sellers'}",Clientes,Usuarios
Stephanie Torres,StephanieTorres,StephanieTorres,100.0%,"{'nombre': 'Stephanie', 'apellido': 'Torres'}",Clientes,Usuarios
Kristin Randall,KristinRandall,KristinRandall,100.0%,"{'nombre': 'Kristin', 'apellido': 'Randall'}",Clientes,Usuarios
Bradley Nguyen,BradleyNguyen,BradleyNguyen,100.0%,"{'nombre': 'Bradley', 'apellido': 'Nguyen'}",Clientes,Usuarios
Lance Rice,LanceRice,LanceRice,100.0%,"{'nombre': 'Lance', 'apellido': 'Rice'}",Clientes,Usuarios
Paul Perkins,PaulPerkins,PaulPerkins,100.0%,"{'nombre': 'Paul', 'apellido': 'Perkins'}",Clientes,Usuarios
Nicole Thompson,NicoleThompson,NicoleThompson,100.0%,"{'nombre': 'Nicole', 'apellido': 'Thompson'}",Clientes,Usuarios
